Males	Females	Area
538881	518748	Jagatsinghapur
1207781	1133313	Cuttack
823747	800594	Jajapur
544001	522877	Dhenkanal
446177	418339	Nayagarh
986886	890509	Khordha
763389	739293	Puri
1581986	1578649	Ganjam
255423	263414	Gajapati
322799	325402	Kandhamal
188155	185217	Baudh
275601	266234	Sonapur
673985	663209	Balangir
264396	266294	Nuapada
667526	667968	Kalahandi
409792	421317	Rayagada
515162	510604	Nabarangapur
590743	589894	Koraput
252507	251691	Malkangiri
15893	15501	Yanam
369428	365904	Pondicherry
17153	19675	Mahe
84487	86304	Karaikal
1113077	990934	Gurdaspur
1650589	1445488	Amritsar
399623	354898	Kapurthala
1040177	922523	Jalandhar
765132	715604	Hoshiarpur
306902	280566	Nawanshahr
596582	519526	Rupnagar
290137	247904	Fatehgarh
1662716	1370115	Ludhiana
474139	420715	Moga
926224	819883	Firozpur
411217	366276	Muktsar
292596	258296	Faridkot
632809	550486	Bathinda
366446	322312	Mansa
1069289	930884	Sangrur
987390	857544	Patiala
955378	834045	Ganganagar
801486	716519	Hanumangarh
886075	788196	Bikaner
987781	936097	Churu
983526	930163	Jhunjhunun
1586752	1405840	Alwar
1133425	967717	Bharatpur
538103	445155	Dhaulpur
651998	557667	Karauli
591307	525750	Sawai
693438	623625	Dausa
2768203	2482868	Jaipur
1172753	1115035	Sikar
1424967	1350091	Nagaur
1513890	1372615	Jodhpur
279101	229146	Jaisalmer
1038247	926588	Barmer
737880	711060	Jalor
437949	413158	Sirohi
918856	901395	Pali
1129920	1051750	Ajmer
626436	585235	Tonk
504818	457802	Bundi
1026650	987139	Bhilwara
493459	493565	Rajsamand
1336004	1297308	Udaipur
547791	559852	Dungarpur
760686	740903	Banswara
918063	885461	Chittaurgarh
827128	741397	Kota
535137	486516	Baran
612804	567519	Jhalawar
23414	17616	North
63912	59344	West
68241	63284	South
132917	112123	East
1397407	1357349	Thiruvallur
2219539	2124106	Chennai
1457242	1420226	Kancheepuram
1741083	1736234	Vellore
1473597	1382703	Dharmapuri
1095859	1090266	Tiruvannamalai
1492442	1467931	Viluppuram
1563633	1452713	Salem
759551	733911	Namakkal
1309278	1272222	Erode
378351	383790	The
2176031	2095825	Coimbatore
968137	954877	Dindigul
465538	470148	Karur
1208534	1209832	Tiruchirappalli
246141	247505	Perambalur
346763	348761	Ariyalur
1150908	1134487	Cuddalore
739074	749765	Nagapattinam
580784	588690	Thiruvarur
1096638	1119500	Thanjavur
724300	735301	Pudukkottai
566947	588409	Sivaganga
1303363	1274838	Madurai
552986	540964	Theni
870376	880925	Virudhunagar
583376	604228	Ramanathapuram
766823	805450	Thoothukkudi
1333939	1390049	Tirunelveli
832269	843765	Kanniyakumari
785579	747403	West
394605	372835	South
159095	148773	Dhalai
302946	287967	North
1553322	1343541	Saharanpur
1893832	1649530	Muzaffarnagar
1651908	1479711	Bijnor
2032302	1778681	Moradabad
1023775	899964	Rampur
795228	703840	Jyotiba
1601578	1395783	Meerut
630077	533914	Baghpat
1769042	1521544	Ghaziabad
652819	549211	Gautam
1550326	1362796	Bulandshahar
1607402	1384884	Aligarh
718930	617101	Hathras
1127512	947004	Mathura
1961282	1659154	Agra
1108668	944290	Firozabad
1509199	1281211	Etah
859934	736784	Mainpuri
1666669	1402757	Budaun
1934119	1684470	Bareilly
876368	768815	Pilibhit
1383408	1164447	Shahjahanpur
1713908	1493324	Kheri
1941374	1678287	Sitapur
1842698	1555608	Hardoi
1422509	1277815	Unnao
1932317	1715517	Lucknow
1472230	1400105	Rae
849800	720608	Farrukhabad
744170	644753	Kannauj
720749	618122	Etawah
635762	544231	Auraiya
844339	718997	Kanpur
2247216	1920783	Kanpur
786641	667811	Jalaun
932818	812113	Jhansi
519413	458321	Lalitpur
563801	479923	Hamirpur
379691	328756	Mahoba
826544	710790	Banda
409178	357047	Chitrakoot
1219602	1088782	Fatehpur
1362948	1368226	Pratapgarh
682290	610864	Kaushambi
2626448	2309657	Allahabad
1416921	1256660	Barabanki
1077472	1011456	Faizabad
1024953	1001923	Ambedkar
1623819	1591013	Sultanpur
1275351	1105721	Bahraich
631916	544475	Shrawasti
887939	794411	Balrampur
1451101	1314485	Gonda
1047165	992920	Siddharthnagar
1075765	1009049	Basti
719465	700761	Sant
1124290	1049588	Mahrajganj
1923197	1846259	Gorakhpur
1473637	1419559	Kushinagar
1355023	1357627	Deoria
1950415	1989501	Azamgarh
933523	920474	Mau
1413774	1347846	Ballia
1941903	1969776	Jaunpur
1537141	1500441	Ghazipur
855123	788128	Chandauli
1649187	1489484	Varanasi
705997	647708	Sant
1115249	1000793	Mirzapur
770897	692622	Sonbhadra
152016	142997	Uttarkashi
183745	186614	Chamoli
107535	119904	Rudraprayag
295168	309579	Tehri
679583	602560	Dehradun
331061	366017	Garhwal
227615	234674	Pithoragarh
118510	130952	Bageshwar
293848	336719	Almora
111084	113458	Champawat
400254	362655	Nainital
649484	586130	Udham
776021	671166	Hardwar
830644	778528	Darjiling
1751145	1650028	Jalpaiguri
1272094	1207061	Koch
1259737	1182057	Uttar
770335	732843	Dakshin
1689406	1601062	Maldah
3005000	2861569	Murshidabad
1546633	1468789	Birbhum
3588376	3307138	Barddhaman
2366853	2237974	Nadia
4638756	4295530	North
2589625	2452351	Hugli
1636002	1556693	Bankura
1298078	1238438	Puruliya
4916370	4694418	Medinipur
2241898	2031201	Haora
2500040	2072836	Kolkata
3564993	3341696	Four
